Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Failed,GO,2420,Rathcke
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2420,Rathcke
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2420,Rathcke
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2420,Rathcke
WASP-127,WASP-127 b,1.132,0.296,0.1647,52.3466,1.311,14.695,1400.0,nan,10.148,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2437,Pelletier
KEPLER-51,Kepler-51 d,0.212,0.0,0.024,7.6,0.865,9.7,381.0,nan,14.885,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2454,Gao
HD-80606,HD 80606 b,0.033,0.011,4.38,1392.0954,1.07,11.994,405.0,G5,9.06,PhaseC,NIRSPEC.BOTS+G395H,Archived,GO,2488,Sikora
HIP67522,-,-,-,-,-,-,-,-,-,-,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2498,Mann
LP-141-14,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+G395M,Archived,GO,2507,Vanderburg
CD-45-5378,GJ 367 b,0.113,0.014,0.00199,0.633,0.062,0.699,1365.0,M1.0 V,10.153,Transit,MIRI.LRS,Archived,GO,2508,Zhang
TOI-260,TOI-260 b,0.065,0.002,0.01331,4.23,0.153,1.71,493.0,K8 V,9.9,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-260,TOI-260 b,0.065,0.002,0.01331,4.23,0.153,1.71,493.0,K8 V,9.9,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-776,TOI-776 c,0.053,0.001,0.02171,6.9,0.183,2.047,420.0,M1 V,11.536,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-776,TOI-776 c,0.053,0.001,0.02171,6.9,0.183,2.047,420.0,M1 V,11.536,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-776,TOI-776 c,0.053,0.001,0.02171,6.9,0.183,2.047,420.0,M1 V,11.536,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-776,TOI-776 c,0.053,0.001,0.02171,6.9,0.183,2.047,420.0,M1 V,11.536,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-562,GJ 357 b,0.157,0.004,0.00579,1.84,0.107,1.2,518.0,M2.5 V,10.91,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
