Planet,Reference,Status,Geometry,Obs,C/O,C/O Lower,C/O Upper,Metallicity,Metallicity Lower,Metallicity Upper,Metallicity Type,Metallicity Solar,log10 R/V,R/V Lower,R/V Upper,R/V Type,Retrieval Type,Notes,Mass,Mass Lower,Mass Upper,T_eq,T_eq Lower,T_eq Upper,Stellar Metallicity,Stellar Metallicity Lower,Stellar Metallicity Upper,Stellar Mass,Stellar Mass Lower,Stellar Mass Upper
PDS 70 b,Hsu et al. 2024,Published,Direct,Keck/KPIC,0.28,0.12,0.2,-0.2,0.5,0.8,C/H,Solar,,,,,pRT,,3,1,1,100,27,26,0.11,0.01,0.01,0.76,0.02,0.02
AB Pic b,Gandhi et al. 2025,Published,Direct,VLT/CRIRES+,0.59,0.01,0.01,0.54,0.08,0.08,O/H,Solar,,,,,HyDRA,Converted from free retrieval results,13.5,0.5,0.5,100,0,0,0.04,0.02,0.02,0.9,0.1,0.1
WASP-166 b,Mayo et al. 2025,Submitted,Transit,NIRISS/SOSS+NIRSpec/PRISM,0.282,0.053,0.078,1.57,0.18,0.17,(O+C)/H,Solar,,,,,POSEIDON,It looks like metallicity is defined relative to solar but interpreted relative to stellar,0.101,0.005,0.005,1273,30,30,0.19,0.05,0.05,1.19,0.06,0.06
TrES-4 b,Meech et al. 2025,Published,Transit,NIRSpec/G395H,0.35,0.1,0.12,-0.15,0.26,0.27,C/H,Solar,,,,,POSEIDON,Test II - other retrievals consistent within a reasonable range,0.78,0.19,0.19,1708,22,22,0.14,0,0,1.08,0.38,0.38
WASP-15 b,Kirk et al. 2025,Published ,Transit,NIRSpec/G395H,0.53,0.15,0.09,1.34,0.26,0.28,C/H,Solar,,,,,pRT,Using TIBERIUS R~100 data; manually updated stellar mass uncertainty,0.54,0.29,0.29,1628,29,29,0.17,0.11,0.11,1.18,0.15,0.16
HAT-P-14 b,Liu et al. 2025,Published,Transit,NIRISS/SOSS+NIRSpec/G395H,0.41,0.2,0.24,-0.08,0.98,0.89,C/H,Solar,,,,,pRT,Manually updated stellar mass and metallicity,8.84,0.63,0.63,1920,32,32,0.11,0.08,0.08,1.386,0.045,0.045
TOI-5205 b,Cañas et al. 2025,Submitted,Transit,NIRSpec/PRISM,1.3,0.4,0.4,-0.76,0.1,0.17,O/H,Solar,,,,,POSEIDON,POSEIDON retrieval includes stellar contamination,1.08,0.06,0.06,736,15,15,0,0,0,0.39,0.02,0.02
MASCARA-1 b,Ramkumar et al. 2025,Published,Eclipse,VLT/CRIRES+,0.74,0.14,0.11,-0.33,0,1,O/H,Solar,0.32,1.49,1.17,Fe/(C+O),Gibson,Pre+Post Eclipse- ref/vol from free chem,3.7,0.9,0.9,2717,2,2,0.15,0.15,0.15,1.9,0.07,0.06
51 Eri b,Brown-Sevilla et al. 2023,Published,Direct,VLT/SPHERE,0.38,0.09,0.09,0.26,0.3,0.3,C/H,Solar,,,,,pRT,Nominal retrieval,3,1,1,100,0,0,0.13,0.02,0.03,1.75,0.05,0.05
GQ Lup b,González Picos et al. 2025,Published,Direct,VLT/CRIRES+,0.5,0.01,0.01,0.5,0.17,0.16,C/H,Solar,,,,,pRT,Also isotope ratios; mass is range given in paper,25,15,15,100,0,0,0.35,0.01,0.01,0.7,0.18,0.16
