Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
HAT-P-18,HAT-P-18 b,0.0,0.0,0.197,62.61,0.995,11.153,852.0,K2,12.597,Transit,MIRI.LRS,Implementation,GO,5844,Radica
TOI-3884,-,-,-,-,-,-,-,-,-,-,Transit,NIRISS.SOSS,Implementation,GO,5863,Murray
TOI-3884,-,-,-,-,-,-,-,-,-,-,Transit,NIRSPEC.BOTS+G395M,Implementation,GO,5863,Murray
TOI-3884,-,-,-,-,-,-,-,-,-,-,Transit,NIRISS.SOSS,Implementation,GO,5863,Murray
TOI-3884,-,-,-,-,-,-,-,-,-,-,Transit,NIRSPEC.BOTS+G395M,Implementation,GO,5863,Murray
WOLF-437,GJ 486 b,0.0,0.0,0.00872,2.77,0.115,1.289,696.0,M3.5 V,11.39,Transit,NIRISS.SOSS,Implementation,GO,5866,MacDonald
WOLF-437,GJ 486 b,0.0,0.0,0.00872,2.77,0.115,1.289,696.0,M3.5 V,11.39,Transit,NIRISS.SOSS,Implementation,GO,5866,MacDonald
WOLF-437,GJ 486 b,0.025,0.0,0.00872,2.77,0.115,1.289,696.0,M3.5 V,11.39,Transit,NIRISS.SOSS,Implementation,GO,5866,MacDonald
V-V1298-Tau,V1298 Tau e,0.021,0.013,1.01,321.00669,0.89,9.976,492.0,K1,10.115,PhaseC,NIRSPEC.BOTS+G395H,Implementation,GO,5882,Dai
TOI-4010,TOI-4010 d,0.083,0.015,0.12003,38.15,0.551,6.18,650.0,K V,12.291,Transit,NIRSPEC.BOTS+PRISM,FlightReady,GO,5894,Kunimoto
TOI-4010,TOI-4010 d,0.0,0.0,0.12003,38.15,0.551,6.18,650.0,K V,12.291,Transit,NIRSPEC.BOTS+PRISM,FlightReady,GO,5894,Kunimoto
